timestamp,domain,data_format,src,dst,packet_size,frequency,protocol,port,is_anomaly,cross_domain_flag,port_anomaly_flag,protocol_anomaly_flag
1700000000.0,cabin,PCAP,192.168.1.9,192.168.1.8,458,100,TCP,80,0,0,0,0
1700000000.01,cabin,PCAP,192.168.1.60,192.168.1.130,458,100,TCP,80,0,0,0,0
1700000000.02,cabin,PCAP,192.168.1.144,192.168.1.51,458,100,TCP,443,0,0,0,0
1700000000.03,cabin,PCAP,192.168.1.57,192.168.1.115,458,100,TCP,443,0,0,0,0
1700000000.04,cabin,PCAP,192.168.1.208,192.168.1.223,458,100,TCP,80,0,0,0,0
1700000000.05,cabin,PCAP,192.168.1.179,192.168.1.109,458,100,TCP,443,0,0,0,0
1700000000.06,cabin,PCAP,192.168.1.40,192.168.1.56,458,100,TCP,443,0,0,0,0
1700000000.07,cabin,PCAP,192.168.1.27,192.168.1.24,458,100,TCP,80,0,0,0,0
1700000000.08,cabin,PCAP,192.168.1.92,192.168.1.217,458,100,TCP,443,0,0,0,0
1700000000.09,cabin,PCAP,192.168.1.207,192.168.1.12,458,100,TCP,443,0,0,0,0
1700000000.1,cabin,PCAP,192.168.1.138,192.168.1.32,458,100,TCP,443,0,0,0,0
1700000000.11,cabin,PCAP,192.168.1.21,192.168.1.142,458,100,TCP,443,0,0,0,0
1700000000.12,cabin,PCAP,192.168.1.148,192.168.1.50,458,100,TCP,80,0,0,0,0
1700000000.13,cabin,PCAP,192.168.1.12,192.168.1.170,458,99,TCP,443,0,0,0,0
1700000000.14,cabin,PCAP,192.168.1.253,192.168.1.21,458,100,TCP,80,0,0,0,0
1700000000.15,cabin,PCAP,192.168.1.222,192.168.1.26,458,100,TCP,443,0,0,0,0
1700000000.16,cabin,PCAP,192.168.1.117,192.168.1.163,458,100,TCP,443,0,0,0,0
1700000000.17,cabin,PCAP,192.168.1.42,192.168.1.95,458,100,TCP,80,0,0,0,0
1700000000.18,cabin,PCAP,192.168.1.172,192.168.1.69,458,100,TCP,80,0,0,0,0
1700000000.19,cabin,PCAP,192.168.1.156,192.168.1.163,458,100,TCP,80,0,0,0,0
1700000000.2,cabin,PCAP,192.168.1.42,192.168.1.119,458,100,TCP,443,0,0,0,0
1700000000.21,cabin,PCAP,192.168.1.254,192.168.1.237,458,100,TCP,80,0,0,0,0
1700000000.22,cabin,PCAP,192.168.1.176,192.168.1.84,458,100,TCP,80,0,0,0,0
1700000000.23,cabin,PCAP,192.168.1.59,192.168.1.211,458,100,TCP,443,0,0,0,0
1700000000.24,cabin,PCAP,192.168.1.103,192.168.1.69,458,100,TCP,80,0,0,0,0
1700000000.25,cabin,PCAP,192.168.1.234,192.168.1.242,458,100,TCP,443,0,0,0,0
1700000000.26,cabin,PCAP,192.168.1.55,192.168.1.168,458,100,TCP,443,0,0,0,0
1700000000.27,cabin,PCAP,192.168.1.227,192.168.1.235,458,100,TCP,443,0,0,0,0
1700000000.28,cabin,PCAP,192.168.1.37,192.168.1.68,458,100,TCP,80,0,0,0,0
1700000000.29,cabin,PCAP,192.168.1.191,192.168.1.144,458,100,TCP,443,0,0,0,0
1700000000.3,cabin,PCAP,192.168.1.192,192.168.1.150,458,100,TCP,443,0,0,0,0
1700000000.31,cabin,PCAP,192.168.1.93,192.168.1.57,458,100,TCP,443,0,0,0,0
1700000000.32,cabin,PCAP,192.168.1.24,192.168.1.194,458,100,TCP,80,0,0,0,0
1700000000.33,cabin,PCAP,192.168.1.40,192.168.1.161,458,100,TCP,443,0,0,0,0
1700000000.34,cabin,PCAP,192.168.1.153,192.168.1.17,458,100,TCP,443,0,0,0,0
1700000000.35,cabin,PCAP,192.168.1.153,192.168.1.120,458,100,TCP,443,0,0,0,0
1700000000.36,cabin,PCAP,192.168.1.249,192.168.1.142,458,100,TCP,80,0,0,0,0
1700000000.37,cabin,PCAP,192.168.1.175,192.168.1.185,458,100,TCP,443,0,0,0,0
1700000000.38,cabin,PCAP,192.168.1.197,192.168.1.165,458,99,TCP,80,0,0,0,0
1700000000.39,cabin,PCAP,192.168.1.76,192.168.1.112,458,100,TCP,443,0,0,0,0
1700000000.4,cabin,PCAP,192.168.1.1,192.168.1.245,458,100,TCP,443,0,0,0,0
1700000000.41,cabin,PCAP,192.168.1.249,192.168.1.129,458,100,TCP,80,0,0,0,0
1700000000.42,cabin,PCAP,192.168.1.130,192.168.1.234,458,100,TCP,443,0,0,0,0
1700000000.43,cabin,PCAP,192.168.1.216,192.168.1.164,458,100,TCP,80,0,0,0,0
1700000000.44,cabin,PCAP,192.168.1.40,192.168.1.96,458,100,TCP,80,0,0,0,0
1700000000.45,cabin,PCAP,192.168.1.139,192.168.1.245,458,100,TCP,80,0,0,0,0
1700000000.46,cabin,PCAP,192.168.1.154,192.168.1.83,458,100,TCP,80,0,0,0,0
1700000000.47,cabin,PCAP,192.168.1.29,192.168.1.238,458,100,TCP,443,0,0,0,0
1700000000.48,cabin,PCAP,192.168.1.62,192.168.1.15,458,100,TCP,80,0,0,0,0
1700000000.49,cabin,PCAP,192.168.1.22,192.168.1.188,458,100,TCP,80,0,0,0,0
1700000000.5,cabin,PCAP,192.168.1.251,192.168.1.195,458,100,TCP,80,0,0,0,0
1700000000.51,cabin,PCAP,192.168.1.33,192.168.1.169,458,100,TCP,80,0,0,0,0
1700000000.52,cabin,PCAP,192.168.1.68,192.168.1.136,458,100,TCP,443,0,0,0,0
1700000000.529999,cabin,PCAP,192.168.1.247,192.168.1.55,458,100,TCP,80,0,0,0,0
1700000000.539999,cabin,PCAP,192.168.1.183,192.168.1.80,458,100,TCP,443,0,0,0,0
1700000000.549999,cabin,PCAP,192.168.1.113,192.168.1.231,458,100,TCP,443,0,0,0,0
1700000000.559999,cabin,PCAP,192.168.1.31,192.168.1.64,458,100,TCP,80,0,0,0,0
1700000000.569999,cabin,PCAP,192.168.1.87,192.168.1.6,458,100,TCP,80,0,0,0,0
1700000000.579999,cabin,PCAP,192.168.1.151,192.168.1.57,458,100,TCP,80,0,0,0,0
1700000000.589999,cabin,PCAP,192.168.1.182,192.168.1.162,458,100,TCP,80,0,0,0,0
1700000000.599999,cabin,PCAP,192.168.1.18,192.168.1.232,458,100,TCP,443,0,0,0,0
1700000000.609999,cabin,PCAP,192.168.1.19,192.168.1.132,458,100,TCP,443,0,0,0,0
1700000000.619999,cabin,PCAP,192.168.1.172,192.168.1.125,458,100,TCP,80,0,0,0,0
1700000000.629999,cabin,PCAP,192.168.1.186,192.168.1.240,458,100,TCP,443,0,0,0,0
1700000000.639999,cabin,PCAP,192.168.1.63,192.168.1.201,458,100,TCP,443,0,0,0,0
1700000000.649999,cabin,PCAP,192.168.1.49,192.168.1.25,458,100,TCP,443,0,0,0,0
1700000000.659999,cabin,PCAP,192.168.1.91,192.168.1.109,458,100,TCP,443,0,0,0,0
1700000000.669999,cabin,PCAP,192.168.1.222,192.168.1.187,458,100,TCP,80,0,0,0,0
1700000000.679999,cabin,PCAP,192.168.1.16,192.168.1.104,458,99,TCP,443,0,0,0,0
1700000000.689999,cabin,PCAP,192.168.1.205,192.168.1.221,458,100,TCP,80,0,0,0,0
1700000000.699999,cabin,PCAP,192.168.1.50,192.168.1.49,458,100,TCP,443,0,0,0,0
1700000000.709999,cabin,PCAP,192.168.1.36,192.168.1.109,458,100,TCP,443,0,0,0,0
1700000000.719999,cabin,PCAP,192.168.1.119,192.168.1.64,458,100,TCP,80,0,0,0,0
1700000000.729999,cabin,PCAP,192.168.1.114,192.168.1.207,458,100,TCP,80,0,0,0,0
